R,P
  1.8762e-07 ,             0
  9.7635e-07 ,             1
  6.2371e-07 ,             0
  4.5909e-07 ,             0
  3.3428e-07 ,             0
  3.9041e-07 ,             0
  4.8628e-07 ,             0
  1.3728e-07 ,             0
  9.3005e-07 ,             1
  4.8496e-07 ,             0
  4.5641e-07 ,             0
  3.4306e-08 ,             0
   4.339e-08 ,             0
  3.8575e-07 ,             0
  9.9817e-07 ,             1
  1.4765e-08 ,             0
  4.8529e-07 ,             0
  8.2309e-07 ,             0
  9.9836e-07 ,             1
  8.6997e-07 ,             0
  4.1124e-07 ,             0
  3.6826e-07 ,             0
  9.1226e-08 ,             0
  7.3131e-07 ,             0
    3.38e-07 ,             0
  9.8546e-07 ,             1
  8.9941e-08 ,             0
  6.3537e-07 ,             0
  1.4135e-07 ,             0
   9.871e-07 ,             1
  9.3334e-07 ,             1
  2.0914e-07 ,             0
  3.5543e-07 ,             0
  9.0878e-07 ,             1
  3.9139e-07 ,             0
  2.9067e-07 ,             0
   2.968e-07 ,             0
  9.1784e-07 ,             1
  2.3429e-07 ,             0
  7.9058e-07 ,             0
  2.1859e-07 ,             0
  7.7283e-07 ,             0
  6.1968e-07 ,             0
  5.1149e-07 ,             0
   1.354e-09 ,             0
  1.7185e-07 ,             0
  1.5033e-07 ,             0
  1.7397e-08 ,             0
  4.6087e-08 ,             0
  1.6357e-07 ,             0
  8.1832e-07 ,             0
  2.3284e-07 ,             0
  3.5194e-07 ,             0
  1.1425e-07 ,             0
  6.7593e-07 ,             0
  3.5714e-07 ,             0
  6.7871e-07 ,             0
  4.3963e-07 ,             0
  5.7023e-07 ,             0
   7.646e-07 ,             0
  6.9386e-07 ,             0
   5.707e-07 ,             0
   3.989e-07 ,             0
  9.3533e-07 ,             1
  5.3179e-07 ,             0
  6.6812e-07 ,             0
    1.73e-07 ,             0
  9.2493e-07 ,             1
  6.3879e-07 ,             0
  4.8295e-07 ,             0
  4.6502e-07 ,             0
  1.1313e-07 ,             0
  4.4574e-07 ,             0
  6.3382e-07 ,             0
  6.2886e-08 ,             0
  9.4976e-07 ,             1
  1.6784e-07 ,             0
  8.3382e-07 ,             0
  5.1792e-07 ,             0
  7.4121e-07 ,             0
  7.4472e-07 ,             0
  9.6412e-07 ,             1
  9.1863e-07 ,             1
  5.8635e-08 ,             0
  1.7953e-07 ,             0
  7.7133e-07 ,             0
  3.3155e-07 ,             0
  8.5451e-07 ,             0
  4.2011e-07 ,             0
  1.8231e-07 ,             0
  2.0542e-07 ,             0
  9.4263e-07 ,             1
  8.2907e-07 ,             0
  1.6842e-07 ,             0
   8.728e-07 ,             0
  1.7884e-07 ,             0
  9.5913e-07 ,             1
  9.2894e-07 ,             1
  2.2309e-07 ,             0
  2.6018e-07 ,             0
