x0,P
   -0.04783  ,         0.04
   -0.043057 ,         0.08
   -0.047555 ,         0.06
   -0.042001 ,          0.1
   -0.046955 ,         0.12
   -0.041412 ,         0.08
    -0.04293 ,         0.12
   -0.041766 ,         0.16
   -0.048861 ,         0.07
   -0.043735 ,         0.06
   -0.047674 ,         0.04
   -0.049345 ,         0.04
    -0.04084 ,         0.12
   -0.041493 ,         0.16
   -0.041642 ,         0.02
   -0.049305 ,         0.08
   -0.047935 ,         0.08
   -0.046562 ,         0.04
   -0.047053 ,         0.04
   -0.044024 ,         0.08
   -0.054686 ,         0.02
   -0.051148 ,         0.03
   -0.054419 ,         0.02
   -0.058052 ,            0
   -0.055336 ,            0
   -0.052789 ,         0.04
    -0.05469 ,         0.02
   -0.056086 ,         0.02
   -0.052584 ,            0
   -0.056017 ,         0.02
   -0.057136 ,         0.02
   -0.052172 ,         0.02
   -0.057627 ,         0.01
   -0.050141 ,         0.04
   -0.053198 ,            0
    -0.05428 ,         0.02
    -0.05957 ,            0
   -0.058443 ,            0
   -0.054753 ,         0.04
   -0.050963 ,         0.06
   -0.060926 ,            0
   -0.060471 ,         0.02
   -0.064365 ,            0
   -0.060433 ,            0
   -0.061838 ,         0.02
   -0.064512 ,            0
   -0.063608 ,            0
   -0.062266 ,            0
   -0.060212 ,         0.02
   -0.060176 ,            0
   -0.060368 ,            0
   -0.062645 ,            0
   -0.043175 ,         0.07
   -0.062834 ,            0
   -0.055809 ,            0
   -0.042439 ,         0.12
   -0.046962 ,         0.04
   -0.053672 ,         0.06
   -0.063938 ,            0
   -0.064122 ,            0
    -0.04394 ,         0.06
   -0.064265 ,            0
   -0.063929 ,         0.02
   -0.052134 ,         0.04
   -0.060007 ,            0
   -0.043547 ,         0.18
   -0.050544 ,         0.06
   -0.062893 ,            0
   -0.059805 ,            0
   -0.063987 ,            0
   -0.056394 ,         0.02
   -0.040893 ,         0.16
   -0.061228 ,            0
    -0.06335 ,            0
   -0.056968 ,         0.02
   -0.058944 ,            0
   -0.058578 ,         0.04
   -0.049806 ,         0.06
   -0.056387 ,            0
    -0.04428 ,         0.12
   -0.057651 ,            0
   -0.040796 ,         0.12
   -0.046923 ,         0.05
   -0.041154 ,         0.17
   -0.042428 ,         0.12
   -0.060586 ,            0
   -0.057371 ,         0.02
   -0.047927 ,         0.06
   -0.063756 ,            0
   -0.040861 ,          0.2
   -0.050969 ,         0.04
   -0.049539 ,         0.05
   -0.059138 ,         0.02
    -0.05988 ,         0.01
   -0.044672 ,         0.08
   -0.052244 ,          0.1
    -0.05114 ,         0.02
   -0.056158 ,            0
   -0.057734 ,            0
   -0.058867 ,            0
   -0.046901 ,         0.18
   -0.056993 ,         0.04
   -0.056377 ,            0
   -0.044065 ,         0.12
   -0.042975 ,         0.08
   -0.052459 ,            0
   -0.063994 ,            0
    -0.04851 ,         0.08
   -0.054632 ,         0.02
   -0.045595 ,          0.1
   -0.058782 ,            0
   -0.046377 ,         0.18
   -0.052649 ,         0.02
   -0.057477 ,         0.02
   -0.062273 ,            0
   -0.063982 ,            0
    -0.05368 ,         0.04
   -0.043466 ,          0.1
   -0.043732 ,         0.16
   -0.046438 ,         0.06
   -0.061018 ,            0
   -0.046357 ,         0.08
   -0.060357 ,         0.02
   -0.046088 ,         0.04
   -0.063232 ,            0
    -0.04875 ,         0.06
   -0.044915 ,          0.1
   -0.046277 ,         0.12
   -0.055401 ,         0.02
   -0.051832 ,         0.02
   -0.048791 ,         0.04
   -0.060771 ,            0
   -0.054632 ,         0.02
   -0.053743 ,         0.04
    -0.06293 ,            0
   -0.047146 ,         0.04
    -0.05893 ,         0.02
