x0,y0,z0,P
  -0.0027566 ,   3.1426e-05 ,  -7.2968e-05 ,         0.84
   0.0046134 ,    4.945e-05 ,  -3.3248e-05 ,         0.49
    -0.02787 ,   6.9718e-05 ,   7.1481e-05 ,            0
    -0.03352 ,   4.0505e-05 ,  -2.4516e-05 ,         0.12
   -0.028747 ,  -5.4415e-05 ,  -5.9695e-05 ,         0.07
   -0.022499 ,   6.3625e-05 ,   4.4741e-05 ,         0.17
   -0.025646 ,  -1.1083e-05 ,   6.1234e-05 ,         0.24
   0.0063744 ,  -3.6084e-05 ,  -1.0947e-05 ,         0.13
   -0.037434 ,   1.5292e-05 ,  -4.1828e-06 ,         0.13
   -0.010367 ,    6.332e-05 ,    -1.42e-05 ,         0.82
   -0.031855 ,   2.3531e-05 ,   3.5879e-05 ,         0.14
   0.0019203 ,   8.3742e-05 ,  -1.5652e-05 ,         0.83
   -0.031622 ,   5.8667e-05 ,  -1.6181e-05 ,         0.14
    -0.01489 ,   -9.135e-05 ,   8.4176e-06 ,         0.06
   0.0099665 ,   2.6622e-05 ,  -8.1447e-05 ,         0.02
    -0.02223 ,   4.7474e-05 ,   5.8792e-05 ,         0.12
   -0.037646 ,  -3.7074e-05 ,   1.9851e-05 ,          0.1
   -0.029317 ,   8.4449e-05 ,  -4.9418e-05 ,            0
   -0.020108 ,   1.3501e-05 ,  -4.9709e-05 ,         0.33
   -0.023317 ,   9.3058e-05 ,   -2.421e-05 ,            0
    -0.02852 ,  -2.6407e-05 ,  -3.9248e-05 ,         0.35
    0.006806 ,   5.9588e-05 ,   1.3599e-05 ,         0.32
  -0.0058406 ,   1.7256e-05 ,  -2.4026e-05 ,         0.53
   0.0081057 ,   7.3225e-05 ,  -3.2239e-05 ,         0.56
   -0.018101 ,    -1.84e-05 ,  -3.8309e-05 ,         0.44
   0.0070168 ,   1.0318e-06 ,    -2.12e-05 ,         0.02
   -0.039708 ,  -3.6683e-06 ,   -8.496e-05 ,         0.03
  -0.0094846 ,  -4.5938e-05 ,   3.6933e-05 ,         0.78
  5.3788e-05 ,  -4.5483e-05 ,  -6.7361e-05 ,         0.85
   -0.028351 ,   2.9442e-05 ,   5.4514e-05 ,         0.18
   0.0066234 ,  -2.1597e-05 ,  -7.6204e-05 ,         0.67
  -0.0018369 ,   1.4421e-05 ,   2.9234e-06 ,         0.41
   0.0013225 ,  -1.6065e-05 ,   9.4062e-05 ,         0.95
   -0.011327 ,   8.5735e-05 ,   2.5594e-05 ,          0.2
 -0.00037092 ,   7.0772e-05 ,   4.9495e-05 ,          0.9
   -0.023548 ,   4.0157e-05 ,  -8.0737e-05 ,         0.08
   -0.028827 ,  -2.1035e-05 ,  -5.8229e-05 ,         0.16
   -0.024381 ,  -3.2151e-05 ,   7.1687e-05 ,         0.14
   -0.010774 ,   7.2181e-05 ,  -2.3342e-05 ,         0.62
   0.0014957 ,   7.1106e-05 ,   1.5634e-05 ,         0.74
   -0.025477 ,   -4.861e-05 ,   1.9691e-05 ,         0.24
   -0.019872 ,  -3.6681e-05 ,   3.3776e-05 ,         0.38
   0.0031029 ,   6.5417e-06 ,  -6.6885e-05 ,         0.64
   -0.009263 ,   1.3371e-05 ,  -4.5808e-05 ,         0.73
   0.0095594 ,    3.465e-05 ,   8.2728e-05 ,         0.59
   -0.029815 ,  -9.9097e-05 ,    6.382e-06 ,         0.02
   0.0013605 ,  -1.6316e-05 ,   5.8063e-06 ,         0.13
  -0.0062069 ,  -4.4379e-05 ,  -5.8199e-05 ,         0.84
   -0.027553 ,  -7.4526e-06 ,  -2.8552e-05 ,         0.17
   -0.016211 ,   2.6369e-06 ,  -8.9521e-05 ,         0.11
   -0.020046 ,  -1.6191e-05 ,   9.8129e-05 ,         0.02
   -0.010028 ,   -1.106e-05 ,  -2.3391e-05 ,         0.59
  2.6138e-05 ,  -5.4429e-05 ,  -8.0196e-05 ,         0.97
   -0.034747 ,   7.0365e-06 ,   1.1501e-05 ,         0.23
   0.0010721 ,   6.0637e-05 ,   5.6228e-05 ,         0.83
   0.0020543 ,  -8.8524e-05 ,   9.0997e-07 ,         0.91
   -0.022275 ,   7.0759e-05 ,  -1.8289e-05 ,         0.09
   -0.018497 ,   -5.061e-05 ,   7.9323e-05 ,         0.05
   -0.011388 ,  -8.1531e-05 ,  -4.8402e-05 ,         0.15
  -0.0049588 ,   1.2959e-05 ,   7.8048e-05 ,         0.89
  -0.0028765 ,    2.956e-07 ,   -3.713e-05 ,         0.42
  -0.0021058 ,  -1.4938e-06 ,   4.6645e-05 ,         0.59
   -0.020544 ,  -4.2648e-05 ,   -1.597e-06 ,         0.44
   -0.018535 ,  -6.4321e-06 ,  -1.9412e-05 ,         0.59
   0.0078172 ,   2.5315e-05 ,  -2.0702e-05 ,         0.03
   -0.011351 ,    7.596e-05 ,  -1.9864e-05 ,         0.51
   0.0024861 ,  -9.2702e-05 ,  -2.8337e-05 ,         0.95
   -0.026183 ,   3.8345e-05 ,   4.5544e-05 ,          0.2
  -0.0088838 ,   3.7895e-05 ,   5.1675e-05 ,         0.87
   -0.010582 ,  -4.6788e-06 ,   9.9104e-05 ,         0.04
   0.0081734 ,   5.2474e-05 ,  -8.1868e-05 ,         0.94
   -0.035705 ,   -2.213e-06 ,   8.2229e-05 ,         0.05
   -0.014975 ,   3.9071e-05 ,  -9.1414e-05 ,         0.01
   -0.013921 ,   3.5617e-06 ,   8.7496e-05 ,         0.13
   -0.035492 ,   5.2388e-05 ,  -2.4949e-05 ,          0.1
   0.0052333 ,  -4.7831e-05 ,   6.5848e-05 ,         0.77
   0.0042194 ,   1.6271e-05 ,   4.6657e-05 ,         0.39
   -0.018051 ,   -3.702e-07 ,   5.4359e-05 ,          0.3
 -0.00091387 ,  -6.1505e-05 ,  -5.4945e-05 ,         0.87
   -0.032577 ,  -7.1632e-05 ,   1.2136e-05 ,         0.07
  -0.0090092 ,  -3.8249e-05 ,   5.1507e-05 ,          0.8
   -0.026969 ,   3.7752e-05 ,  -6.7832e-05 ,          0.1
   -0.017717 ,  -7.4495e-05 ,  -4.4223e-05 ,         0.11
      0.0022 ,  -7.2691e-05 ,  -2.3479e-05 ,         0.74
    -0.03019 ,   6.4453e-05 ,  -3.6928e-05 ,         0.09
   -0.024807 ,  -1.7057e-05 ,   7.4463e-05 ,         0.11
   -0.015835 ,   3.2355e-06 ,  -7.1468e-05 ,         0.29
   -0.023109 ,   6.7331e-07 ,  -2.8731e-05 ,         0.27
 -7.5709e-05 ,  -6.1999e-05 ,   5.7895e-05 ,         0.83
   0.0093744 ,  -9.0882e-05 ,  -4.1256e-05 ,         0.99
   -0.032048 ,   5.2907e-05 ,   2.7316e-05 ,         0.13
   -0.028156 ,   9.2944e-05 ,   3.2771e-05 ,            0
  -0.0048882 ,  -5.7761e-05 ,  -1.1319e-05 ,         0.66
   -0.021226 ,   1.7159e-05 ,   -9.258e-05 ,         0.03
   0.0086852 ,   6.1718e-05 ,  -2.7164e-05 ,         0.19
   0.0086153 ,   4.4043e-05 ,   4.6846e-05 ,         0.18
  -0.0078151 ,  -4.2367e-05 ,  -1.9555e-05 ,          0.7
   0.0030049 ,  -3.4794e-05 ,   6.7755e-06 ,         0.25
   -0.019906 ,   5.5425e-05 ,   4.1526e-06 ,         0.29
  -0.0084035 ,  -4.4351e-05 ,    7.276e-05 ,          0.9
   0.0092618 ,   4.6381e-05 ,   7.5349e-05 ,         0.62
   -0.012026 ,   2.2878e-05 ,   -8.009e-05 ,         0.29
   0.0066796 ,  -3.7148e-06 ,   9.1773e-06 ,         0.01
  -0.0039828 ,  -9.0355e-05 ,  -1.6375e-05 ,         0.97
   -0.015798 ,    4.855e-05 ,   8.2863e-05 ,         0.03
  -0.0080484 ,  -7.0387e-05 ,   -5.249e-05 ,         0.91
   0.0043818 ,  -1.6815e-06 ,   2.0586e-05 ,         0.19
   -0.030063 ,   -3.486e-05 ,  -5.0662e-05 ,         0.17
   -0.020232 ,   -3.128e-05 ,  -7.7878e-05 ,         0.06
   0.0096088 ,  -9.9194e-07 ,  -8.5406e-05 ,         0.43
   -0.019882 ,   -4.509e-05 ,   1.4481e-05 ,         0.31
  -0.0070572 ,   4.4841e-05 ,   2.6073e-05 ,         0.68
   0.0050674 ,   1.0805e-05 ,   8.1324e-05 ,         0.78
   0.0097691 ,   5.9107e-05 ,  -3.5795e-05 ,            0
  -0.0073418 ,   4.5461e-05 ,   6.4579e-05 ,         0.89
   -0.034578 ,   2.2298e-05 ,  -4.3212e-05 ,         0.15
   -0.038194 ,  -4.0871e-05 ,  -1.0041e-05 ,         0.14
  -0.0090954 ,   9.1058e-05 ,  -2.2119e-06 ,         0.92
   -0.011643 ,    7.722e-05 ,   4.1307e-05 ,         0.22
   0.0080982 ,  -9.0466e-05 ,   3.4069e-05 ,         0.95
  -0.0026947 ,   2.5743e-05 ,     2.04e-05 ,         0.41
  -0.0068742 ,   4.1471e-05 ,  -1.0122e-05 ,         0.61
   -0.013834 ,   3.1466e-05 ,   9.1648e-07 ,         0.63
   -0.027005 ,   1.0909e-05 ,  -6.9128e-05 ,         0.11
   0.0080997 ,    1.804e-05 ,  -4.0087e-05 ,         0.03
    -0.01299 ,   6.4225e-05 ,  -6.9527e-05 ,         0.09
   -0.038486 ,   2.7152e-05 ,   1.5928e-05 ,         0.16
  -0.0051843 ,  -1.6985e-05 ,   1.2376e-05 ,         0.52
   -0.014014 ,  -4.6268e-06 ,   7.4509e-05 ,         0.25
   -0.037048 ,   2.7196e-05 ,  -8.3578e-05 ,         0.01
   0.0045018 ,  -5.0745e-05 ,   2.3331e-05 ,         0.35
    -0.02349 ,   3.5812e-05 ,  -2.2523e-05 ,         0.32
   -0.028515 ,   2.4176e-05 ,   5.2963e-05 ,         0.15
   -0.034303 ,  -3.9707e-06 ,   4.5669e-05 ,         0.19
   -0.024454 ,   4.3585e-05 ,   5.6585e-05 ,         0.11
   -0.028578 ,   6.2478e-05 ,   7.1834e-05 ,         0.01
  -0.0074001 ,    5.403e-05 ,  -5.8052e-05 ,          0.9
   -0.036692 ,  -2.7951e-05 ,  -1.5299e-05 ,         0.18
   -0.026228 ,  -5.9475e-05 ,  -1.9267e-05 ,         0.19
   -0.025909 ,   1.4329e-05 ,   1.8462e-05 ,         0.34
   0.0040033 ,   4.2699e-05 ,  -5.6477e-05 ,         0.63
   -0.017783 ,  -4.7312e-05 ,  -4.5593e-05 ,         0.21
  -0.0022043 ,  -5.9189e-05 ,    8.045e-05 ,            1
  -0.0098352 ,  -8.9777e-05 ,  -7.4912e-06 ,         0.96
  -0.0008367 ,  -5.6841e-05 ,   4.0319e-05 ,         0.73
   -0.034303 ,   8.4005e-05 ,   4.3447e-05 ,         0.03
   0.0089282 ,   2.3482e-06 ,   3.7013e-05 ,            0
   0.0024298 ,   4.4623e-05 ,    4.369e-05 ,         0.61
   -0.037468 ,   3.8851e-05 ,   8.8115e-05 ,            0
    -0.01669 ,    6.043e-06 ,   9.5595e-05 ,         0.03
   -0.023717 ,  -7.3315e-05 ,    4.196e-05 ,         0.11
  -0.0084897 ,   7.4838e-05 ,   2.4137e-05 ,         0.92
   -0.028485 ,   4.7982e-05 ,  -3.3625e-05 ,         0.15
   -0.011006 ,   9.0985e-05 ,  -3.2894e-05 ,         0.09
  -0.0098422 ,  -3.5265e-05 ,   2.0265e-06 ,         0.76
   -0.010006 ,  -8.5279e-05 ,   5.7675e-06 ,         0.94
   -0.017579 ,  -4.2105e-05 ,   6.8498e-05 ,         0.17
   -0.038229 ,   7.3863e-05 ,  -5.3626e-05 ,         0.02
   -0.014309 ,  -4.2983e-05 ,   4.6209e-05 ,         0.46
   -0.019613 ,   6.6301e-05 ,   5.5699e-05 ,         0.08
   -0.034598 ,   1.7267e-05 ,  -8.9744e-05 ,         0.02
   -0.017006 ,  -4.3695e-05 ,   3.6268e-05 ,         0.42
   -0.017456 ,   3.8778e-06 ,   7.4213e-05 ,         0.15
   -0.012443 ,  -8.1458e-05 ,   5.6177e-05 ,         0.03
  0.00027022 ,   6.0916e-05 ,   4.2217e-05 ,         0.76
  -0.0049575 ,   3.8827e-05 ,   4.2388e-05 ,         0.75
   0.0036118 ,   7.3547e-05 ,  -2.8029e-05 ,         0.79
    -0.03739 ,   5.7787e-05 ,  -1.6343e-05 ,         0.04
   -0.029016 ,  -7.7446e-05 ,  -3.9589e-05 ,         0.06
   -0.017018 ,    5.985e-05 ,     2.36e-05 ,         0.31
   0.0079267 ,   6.6999e-06 ,   6.9847e-05 ,         0.44
 -0.00049773 ,  -5.0321e-05 ,   6.6447e-05 ,         0.79
   -0.017406 ,   4.2662e-05 ,  -8.8923e-05 ,         0.01
   -0.023329 ,   5.6982e-05 ,   5.5322e-06 ,         0.28
   -0.037045 ,   8.8208e-05 ,   2.4443e-05 ,         0.01
  -0.0029547 ,   4.1893e-05 ,   7.5071e-05 ,         0.91
    -0.01466 ,  -5.7854e-05 ,  -7.8706e-05 ,         0.01
   -0.030004 ,  -2.0474e-06 ,  -1.7749e-05 ,         0.15
    -0.01864 ,  -3.5794e-05 ,  -4.7827e-05 ,          0.3
   -0.031565 ,  -7.7564e-05 ,   2.4705e-05 ,         0.07
  -0.0024153 ,  -5.0759e-05 ,  -1.5444e-05 ,         0.62
   -0.021582 ,  -1.3773e-05 ,    4.598e-05 ,         0.33
   0.0070909 ,  -2.8115e-06 ,  -8.4282e-05 ,         0.76
   -0.039141 ,   2.9575e-05 ,   7.3288e-05 ,         0.04
   0.0014528 ,  -2.9733e-05 ,  -7.0867e-05 ,         0.77
  -0.0086705 ,   3.2971e-05 ,   7.4278e-05 ,         0.94
   -0.013063 ,  -1.4776e-05 ,   1.6038e-05 ,         0.71
  -0.0074746 ,  -4.1598e-05 ,  -4.1922e-05 ,         0.77
  -0.0036685 ,   1.2683e-05 ,  -6.5974e-05 ,         0.73
   -0.035276 ,   4.2843e-05 ,   2.3949e-05 ,         0.15
   0.0038787 ,   7.6373e-05 ,  -3.6299e-05 ,         0.75
   -0.039282 ,   1.4884e-05 ,  -9.1325e-05 ,         0.02
   -0.025285 ,  -5.2875e-05 ,   4.3982e-06 ,         0.28
   -0.031004 ,  -7.8651e-05 ,   3.3533e-05 ,         0.03
   0.0063147 ,  -3.5061e-05 ,   1.2181e-05 ,         0.14
   -0.036591 ,  -3.1714e-05 ,   8.5799e-05 ,         0.01
   -0.010945 ,  -3.7176e-05 ,  -1.9894e-06 ,         0.73
  -0.0081424 ,  -7.6519e-05 ,  -5.1867e-06 ,         0.87
  -0.0074365 ,   2.4945e-05 ,   -5.513e-05 ,         0.76
   0.0032311 ,   2.4968e-05 ,   -8.628e-05 ,          0.9
   -0.037202 ,  -4.3742e-05 ,  -5.5896e-05 ,         0.08
  0.00084276 ,  -5.0586e-05 ,   4.8342e-05 ,         0.73
   -0.013554 ,   3.5338e-05 ,  -8.6728e-05 ,         0.06
  -0.0052825 ,  -5.8166e-05 ,   -1.217e-05 ,         0.72
    -0.02938 ,  -3.9653e-05 ,   5.4056e-05 ,         0.09
   -0.012836 ,   9.1038e-05 ,  -3.6707e-05 ,         0.02
   -0.004874 ,   1.4629e-05 ,  -1.4456e-05 ,         0.36
   0.0078217 ,  -9.3781e-05 ,  -3.0573e-05 ,         0.97
   -0.017773 ,  -3.1242e-05 ,  -3.0266e-05 ,         0.51
    -0.03573 ,  -6.9763e-05 ,  -4.2477e-05 ,         0.03
   -0.037133 ,   2.0095e-05 ,   7.3896e-05 ,         0.07
  -0.0085275 ,  -2.6002e-05 ,   7.7943e-05 ,         0.92
 -0.00019105 ,  -5.9085e-05 ,   1.0916e-05 ,         0.65
  -0.0054404 ,   9.6313e-06 ,   7.8167e-05 ,         0.89
   -0.022735 ,   5.0299e-05 ,  -7.4709e-05 ,          0.1
   0.0073408 ,     4.72e-06 ,    1.305e-05 ,         0.02
    -0.01399 ,   4.3647e-06 ,    2.863e-05 ,         0.68
   0.0076907 ,   4.7179e-05 ,    8.673e-05 ,         0.97
    -0.03632 ,   1.1289e-05 ,   7.9913e-05 ,         0.03
   -0.029648 ,  -4.4216e-05 ,   1.8904e-05 ,         0.21
