y0,P
   3.919e-05 ,          0.69
  2.7706e-05 ,          0.64
 -8.6239e-05 ,          0.95
  6.1729e-06 ,           0.6
 -1.8476e-05 ,           0.7
  4.3672e-05 ,          0.71
  6.2668e-06 ,          0.63
 -7.8874e-05 ,          0.93
   5.576e-05 ,          0.82
 -8.1835e-05 ,          0.94
 -6.9269e-05 ,          0.87
 -1.1983e-05 ,          0.62
 -8.5151e-06 ,          0.63
  3.6104e-06 ,          0.66
  2.7542e-05 ,          0.54
 -5.1859e-05 ,          0.77
 -4.2187e-05 ,          0.74
  3.9028e-05 ,          0.76
 -4.9042e-05 ,          0.73
  3.3567e-05 ,          0.65
 -3.1108e-05 ,          0.64
  3.5066e-05 ,          0.68
  2.0434e-05 ,           0.6
  8.3198e-05 ,          0.93
 -7.5102e-06 ,          0.59
 -7.8167e-06 ,          0.65
 -3.5506e-05 ,          0.66
 -5.7286e-06 ,           0.6
 -6.4825e-05 ,          0.86
 -5.3028e-06 ,          0.56
 -3.1775e-05 ,          0.64
 -6.1651e-05 ,          0.76
  -5.143e-05 ,          0.75
 -4.6188e-05 ,          0.73
 -6.2268e-05 ,          0.86
 -8.1777e-05 ,          0.94
  3.6673e-05 ,          0.69
 -1.4854e-05 ,          0.76
  2.9524e-05 ,          0.69
  2.7157e-05 ,          0.72
 -5.8213e-05 ,           0.8
 -5.2754e-05 ,          0.81
  2.1461e-05 ,           0.6
 -8.2549e-06 ,          0.64
  5.4057e-05 ,          0.76
  3.2402e-05 ,          0.69
  6.8386e-05 ,          0.83
 -4.8712e-05 ,          0.76
   1.645e-05 ,          0.66
  7.3988e-05 ,           0.9
 -3.6385e-05 ,           0.7
  8.7966e-05 ,          0.93
 -4.1074e-06 ,          0.56
  8.9432e-06 ,          0.74
  8.7772e-06 ,          0.65
  4.4991e-06 ,          0.51
 -5.6265e-05 ,          0.71
 -7.8061e-05 ,           0.9
 -1.9084e-05 ,          0.59
 -2.6837e-05 ,          0.64
  2.5579e-05 ,          0.65
  8.6571e-05 ,          0.97
 -6.1594e-05 ,          0.81
  3.9253e-05 ,          0.72
  5.0809e-06 ,          0.58
  7.2228e-05 ,          0.84
 -2.1309e-05 ,          0.69
  4.8252e-05 ,          0.76
 -3.0457e-05 ,          0.64
  1.7218e-05 ,          0.63
 -9.1109e-05 ,          0.96
 -5.1443e-05 ,          0.75
  3.7559e-05 ,          0.68
  4.7268e-05 ,          0.73
  3.6683e-05 ,          0.74
 -1.1539e-05 ,          0.65
 -3.3828e-05 ,          0.68
 -4.5946e-05 ,           0.7
  6.4344e-05 ,          0.84
  7.7554e-05 ,          0.86
  5.3823e-05 ,          0.75
  6.1703e-05 ,          0.78
 -2.4521e-05 ,          0.72
  5.8081e-05 ,          0.86
 -3.4487e-05 ,           0.7
 -1.2271e-05 ,          0.66
  5.3771e-05 ,          0.83
  7.2396e-05 ,          0.87
  2.8847e-06 ,          0.73
  1.7605e-05 ,          0.61
 -6.0027e-05 ,          0.79
  4.9741e-05 ,          0.71
  5.7993e-05 ,          0.87
  6.8128e-06 ,          0.67
 -7.7659e-05 ,           0.9
   3.573e-05 ,          0.65
 -6.2058e-05 ,          0.85
 -7.0478e-05 ,          0.81
  7.0143e-05 ,          0.89
  8.5922e-05 ,          0.92
