z0,P
 -2.9855e-05 ,          0.59
  7.5189e-05 ,          0.87
  2.4495e-05 ,          0.64
 -5.8452e-05 ,          0.84
 -5.8153e-06 ,           0.7
  6.8862e-05 ,          0.81
 -5.4816e-05 ,          0.81
 -5.4467e-05 ,          0.74
  -3.778e-05 ,          0.64
 -1.3959e-05 ,          0.65
  8.0976e-05 ,          0.93
 -1.2226e-05 ,          0.61
 -4.8387e-05 ,          0.75
  1.8979e-05 ,          0.58
  2.0569e-05 ,          0.58
 -5.5651e-05 ,          0.76
 -4.0665e-05 ,          0.76
 -1.5167e-05 ,          0.66
 -8.2897e-05 ,          0.89
  6.0203e-05 ,          0.82
  8.5771e-05 ,          0.94
 -2.2782e-06 ,          0.56
 -5.2543e-05 ,          0.77
  9.2618e-05 ,          0.99
  4.2272e-06 ,           0.7
 -2.2205e-06 ,          0.62
  3.5827e-05 ,          0.64
 -2.6513e-05 ,          0.69
 -9.2452e-05 ,          0.96
  8.2657e-05 ,           0.9
 -8.0258e-05 ,          0.87
 -3.2929e-05 ,          0.68
 -7.2689e-05 ,          0.84
 -7.8648e-05 ,          0.93
 -1.1652e-06 ,          0.64
  4.3007e-05 ,          0.74
  7.8185e-05 ,          0.88
  3.9749e-05 ,          0.66
 -9.3892e-05 ,          0.98
  4.4871e-09 ,           0.6
  8.0944e-05 ,          0.94
  2.3533e-05 ,          0.74
  6.1098e-05 ,          0.82
 -6.3416e-05 ,          0.86
  7.7302e-05 ,           0.9
 -2.0197e-06 ,          0.72
  9.5736e-05 ,           0.9
  9.4325e-08 ,           0.6
 -8.8076e-05 ,          0.97
 -9.1514e-05 ,          0.95
    4.33e-06 ,           0.6
   6.363e-05 ,          0.84
  4.4488e-05 ,          0.71
  3.1921e-05 ,          0.63
  9.4595e-05 ,          0.97
  6.0066e-05 ,          0.82
 -1.3522e-05 ,          0.59
 -8.3306e-05 ,          0.94
 -6.5322e-05 ,           0.8
  6.6276e-05 ,          0.82
 -8.7906e-05 ,          0.93
  5.3752e-06 ,          0.63
  3.1372e-05 ,          0.68
 -4.1603e-05 ,          0.66
 -9.6903e-05 ,          0.92
 -6.6566e-05 ,          0.89
 -2.5518e-05 ,          0.62
 -2.0625e-06 ,          0.82
  9.0326e-05 ,          0.95
 -8.9465e-05 ,          0.97
 -4.6176e-05 ,          0.76
  9.5742e-06 ,          0.65
 -1.6451e-05 ,          0.66
 -3.9709e-05 ,          0.65
  3.3268e-05 ,          0.66
  3.9621e-05 ,          0.72
 -6.4374e-05 ,          0.87
  9.9816e-05 ,          0.55
  -9.348e-05 ,          0.97
  7.6373e-05 ,           0.9
 -6.1913e-05 ,          0.82
 -7.8548e-06 ,          0.66
 -6.8719e-05 ,          0.85
  2.8953e-05 ,          0.69
 -6.1815e-05 ,          0.82
 -3.5956e-06 ,          0.56
  1.7901e-05 ,          0.55
 -2.3076e-05 ,          0.64
 -4.9639e-05 ,          0.75
  2.3418e-05 ,          0.62
  6.4875e-05 ,          0.86
   4.605e-05 ,          0.76
  1.6814e-05 ,          0.65
  8.1262e-05 ,          0.91
  6.3552e-05 ,          0.79
  1.8871e-05 ,          0.65
 -1.4948e-05 ,          0.73
 -6.7703e-05 ,          0.86
 -1.5423e-05 ,          0.63
  1.9705e-05 ,          0.62
